Text,Label,Score,text_cleaned
I hate when it's gloomy outside because it always gets me in a depressing mood,sadness,0.8390000000000001,hate gloomy outside get depressing mood
People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day,sadness,0.833,people stealing thing work quite damper day going wear pajama day
@FlakeJay ring ring! #depression is here,sadness,0.833,ring ring depression
It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,sadness,0.833,september battling situation said handled march year unacceptable unhappy
"@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs",sadness,0.833,yeah sure will just depressing having talk parent phone instead talking downstairs
| At home sick... 🎼The blues🎼 won't cure it so I need ideas 🎸😭 | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa,sadness,0.833,home sick blue not cure need idea sorethroat sick blue music fallweather carletonuniversity ottawa
I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression,sadness,0.833,not wish anxiety depression worst people not fun anxiety depression
sorry Main twitter im in depress,sadness,0.833,sorry main twitter im depress
"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",sadness,0.833,surrounded trump voter right fucking terrifying redstate despair
come to the funeral tomorrow at 12 to mourn the death of my gpa,sadness,0.833,come funeral tomorrow mourn death gpa
"@TNFryed Jesus, you just made think that of all the Vols v fl games I've seen. I've never seen a win. #depression",sadness,0.833,jesus just think vols v fl game seen seen win depression
After spending £450 @Debenhams I was offered a £5 voucher. I asked if I could spend it at weekend? Was told 'no valid today only' #unhappy,sadness,0.8140000000000001,spending offered voucher asked spend weekend told no valid today only unhappy
Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged 😪,sadness,0.812,thought pretty solid gpa kin major look average dpt program feel discouraged
"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem",sadness,0.812,lament nsaddened heartnso far amp nyet nearnthe year sontough amp scarrednthis lonesomenroadnstill feared depression nn poetry poem
Summer officially ends today. #sadness,sadness,0.812,summer officially end today sadness
Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,sadness,0.812,evaluation came minimally effective student test score parcc sunk eval time quit teaching
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",sadness,0.812,bad news fam life hard awful depression anxiety atleastihavebuffy
"Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping.",sadness,0.812,oh just get over depression be happy not think tried thousand time already not helping
Im really constipated. This is depressing,sadness,0.812,im really constipated depressing
When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT,sadness,0.8109999999999999,health insurance not cover tm let know cover ect mentalhealth psychology depression tm ect
Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,sadness,0.81,hope despair day meetingmyabuserincourt n dvsurvivor
2 applications for my dbs and still waiting. Been over a year now. Going to loose my job 👍🏿 @GOVUK  #thanks #unhappy #crb,sadness,0.792,application db waiting year now going loose job thanks unhappy crb
I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now 😞,sadness,0.792,miss social medium place laugh jump dm lol shit depressing
@Hayles_101 The three R's depress me.,sadness,0.792,r depress me
Too many gloomy days,sadness,0.792,gloomy day
The weather sure matches the mood in this state today.. #gloomy,sadness,0.792,weather sure match mood state today gloomy
and again dirty and  self loathing attitude  mope talking,sadness,0.792,dirty self loathing attitude mope talking
Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU,sadness,0.779,wearing black tomorrow continue mourn life recent victim police brutality blackout wu
Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁,sadness,0.7709999999999999,person dislike fall firstdayoffall leaf thingsdie depressing cold noflipflops
My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe,sadness,0.7709999999999999,soul weary fighting battle world blackinamerica wearenotsafe
"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sadness,0.7709999999999999,prayer family friend amp member mourn loss engineer ryan osler lodd rip
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,sadness,0.7709999999999999,just wish appreciated do turn taken care of want break tired
"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get",sadness,0.7709999999999999,lately bad depression feel like body like just taking little
We have left #Maine. #sadness,sadness,0.7709999999999999,left maine sadness
"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.",sadness,0.7709999999999999,fucking sad person love doe not try fighting happiness them
@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions,sadness,0.7709999999999999,charlotteprotest u wait fact video u hate ask question later sad protest policeshootings suggestion
It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200,sadness,0.7709999999999999,interesting photo mono lisa cry scene depressing ele
The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,sadness,0.7709999999999999,news disheartening going result lack understanding misinformation medium sadness
Never ever been this unhappy before in my life lmao,sadness,0.7709999999999999,unhappy life lmao
@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy,sadness,0.7709999999999999,worst possible decision arriving uk shocking service poor coverage unhappy
Condolences to the  JC and the Georges family.. #sad,sadness,0.7709999999999999,condolence jc george family sad
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,sadness,0.767,want win wild card play cub road sadness
Groom gloom.,sadness,0.7659999999999999,groom gloom
I don't think I can go to work tomorrow since val has left #GBBO I need a day to mourn,sadness,0.754,not think work tomorrow val left gbbo need day mourn
Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.,sadness,0.754,good morning lovely people not gonna lie woken feeling pretty glum
@6itmap I can't help but feel melancholic!,sadness,0.75,help feel melancholic
@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,sadness,0.75,horrid disease maternal grandmother sister suffered affliction hard all
If anybody needs me I'll be drowning my blues in a sea of whiskey 🍻,sadness,0.75,anybody need drowning blue sea whiskey
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness,0.75,god shilling seriously need major rethink lab gove lifetime sad
in health we did a think about depression and now i feel like i have it,sadness,0.75,health did think depression feel like
@Gaychel22 @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair 😩,sadness,0.75,hard fact not sinking in despair
So depressing that it's darker so much earlier now,sadness,0.75,depressing darker earlier
@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can’t just Re-tweet,sadness,0.75,n good heart lost job responsible family information profile dollar just retweet
Currently unfollowing anything relating to disneyworld or Florida! #holidayblues #depressing #wantogoback 😭💔,sadness,0.75,currently unfollowing relating disneyworld florida holidayblues depressing wantogoback
It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh 😒,sadness,0.75,just begun lady gent war racism begun sadness segregation continues smh
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost,sadness,0.75,just wish appreciated do turn taken care of want break tired lost
"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing",sadness,0.75,mary berry mel sue gone principle gone fame fortune gbbo depressing
@crimsonwulfe it's super sad!! Especially when you are talking to a real person and not a bot! Makes it feel real :(,sadness,0.75,super sad especially talking real person not bot make feel real
@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.,sadness,0.74,laying bed moping like intend month
Baaarissshhhhh + sad song =  prefect night — feeling alone,sadness,0.7290000000000001,baarisshh sad song prefect night feeling
im so gloomy today,sadness,0.7290000000000001,im gloomy today
Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.,sadness,0.7290000000000001,honestly come place getting discouraged just gotta tell pushing it
. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices,sadness,0.7290000000000001,official got touch issue not addressed unhappy patheticservices
Back in Cardiff after an amazing 10 days away 😭 #depressing,sadness,0.7290000000000001,cardiff amazing day away depressing
so lost i'm faded,sadness,0.7290000000000001,lost faded
Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n #quotes #worstenemy  #thinktoomuch,sadness,0.7290000000000001,worst place headnn quote worstenemy thinktoomuch
@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer,sadness,0.7290000000000001,just came ba passenger broken bag new suitcase unhappy customer
Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,sadness,0.7290000000000001,tell supposed feel broken hateful guilty love sadness
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",sadness,0.7290000000000001,tomorrow episode despair arc shit gonna happen not emotionally prepared
@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.,sadness,0.7290000000000001,maybe white mouth shut let people targeted speak mourn
@rockcock64 cum and despair,sadness,0.7290000000000001,cum despair
Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad,sadness,0.7290000000000001,ill say again black man id afraid leave house moving violationn terrancecrutcher truth sad
"Wanna pop some pills, sedate myself, and wake up tomorrow.",sadness,0.7290000000000001,wanna pop pill sedate myself wake tomorrow
Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad,sadness,0.7290000000000001,patti sad stamped ran sofa plenty love affectionmore usual sad
"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged",sadness,0.7290000000000001,feel like house u basic requirement have literally option discouraged
Don't wanna go to work but I want the money #sad,sadness,0.7290000000000001,not wanna work want money sad
Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML,sadness,0.7290000000000001,wow denver housing market depressing place buy range fml
one ep of despair arc made me happy but and then i'm going back to future arc and i'm upset again.,sadness,0.7290000000000001,ep despair arc happy going future arc upset again
I have not nap for 3 days in a row I'm very unhappy rn,sadness,0.7290000000000001,not nap day row unhappy rn
@megalvz literally was gloomy for an hour,sadness,0.7290000000000001,literally gloomy hour
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",sadness,0.7290000000000001,think swallow swift gone photo night ago not seen since sad autumn
"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL",sadness,0.7290000000000001,fucking gutted disheartened amp pissed offgone toughest resolute defence worst amp shambolic scfc stohul
@TootingCommon stop!!! Don't make me laugh when I'm being sad.,sadness,0.708,stop not make laugh sad
Condolences to the  JC and the Georges family.. ,sadness,0.708,condolence jc george family
"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",sadness,0.708,ux online appalling clear save button not able use generic tld unhappy
Literally being here makes me depress tbh,sadness,0.708,literally make depress tbh
@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad,sadness,0.708,good reporter quit sad
"This room is rather dreary, but we endure what we must.",sadness,0.708,room dreary endure must
where broken hearted lovers do cry away their gloom,sadness,0.708,broken hearted lover away gloom
Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans,sadness,0.708,grim amp compelling news report blockade aid starving yemen bbc dosomethingpoliticans
@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,sadness,0.708,lost xt nova hole sadness
@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness,sadness,0.708,click cupcake vehicle available sadness
Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?,sadness,0.708,nasty nasty chilly rain damper afternoon cigar not good thing congresscritters tomorrow
I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol,sadness,0.708,got diagnosed severeextreme depression did not know difference lol
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness,0.708,haikuchallenge haikunnthe crisp autumn airnmy freedom purchased deathnno mourn
Smokeys dad is sad :/,sadness,0.6890000000000001,smokeys dad sad
"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",sadness,0.688,american are part feeling borderline despair least looking situation control
@ryyyshh story of my life. #lost,sadness,0.688,story life lost
When will the weeks full of Mondays end?? #disheartened,sadness,0.688,week monday end disheartened
@HannahFJames I'm distraught! 😭 Candice and her pout can piss off,sadness,0.688,distraught candice pout piss
@HutchinsonDave I don't know whether to despair or agitate for a cull.,sadness,0.688,not know despair agitate cull
Can I just sulk in peace 😂,sadness,0.688,just sulk peace
It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! ' #sad #ourworld,sadness,0.688,sad man leaf work little bit late worst fear oh no did stopped police sad ourworld
MY CAR IS DENTED FROM THE HAIL sad,sadness,0.688,car dented hail sad
From My head to think it was better but obviously it's not #relapse #sadness #sickness #madness #misunderstanding,sadness,0.688,head think better obviously not relapse sadness sickness madness misunderstanding
@WilsonsWorld I was in high school and remember helping neighbors clean up back home in Greenville.  Pretty sobering stuff.  #sadness,sadness,0.688,high school remember helping neighbor clean home greenville pretty sobering stuff sadness
I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy,sadness,0.688,sleep cootiesni close eye dream awake weary sleepissues narcolepsy
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sadness,0.688,wow tmobile store san diego note replacement sadness need replaced
"I forgot my hair straightner home, I'm feeling lost without it... #lost #lostWithoutMyHairStraightener",sadness,0.688,forgot hair straightner home feeling lost it lost lostwithoutmyhairstraightener
And I won't even get started with Hillary and her fancy fundraisers! #depressing,sadness,0.688,not started hillary fancy fundraiser depressing
The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim,sadness,0.688,underground waterloo not nice place am thursday somanypeople grim
When will the weeks full of Mondays end?? ,sadness,0.688,week monday end
@Samkingftw ew omg that is so grim,sadness,0.688,ew omg grim
@thatsabingo grim really,sadness,0.688,grim really
With loyal heart is concerned. #somber,sadness,0.688,loyal heart concerned somber
@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam,sadness,0.688,providing customer wequipment doe not deliver speed internet service charging unhappy scam
@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.,sadness,0.688,yes cop ppl lost life r alive
"If you find me lost, will you stay as a passerby or will you get lost with me? #musings #melancholy",sadness,0.68,lost stay passerby lost me musing melancholy
I'm getting use to not having a phone it's sad ..,sadness,0.68,getting use not having phone sad
"I'm slugging vitamin D pills by the handful, like they were m&amp;ms. When will this eternal winter end?! #Melbourne #grim #overit",sadness,0.675,slugging vitamin d pill handful like mampms eternal winter end melbourne grim overit
Sometimes the support network is causing the damage. \n\n #support #Damaged #alone #tired  #hurt #nojustice  #surivivor #NoMore,sadness,0.67,support network causing damage nn support damaged tired hurt nojustice surivivor nomore
@JUSTICESLUT420 sadly this sort of poster died by the 90s afaik,sadness,0.669,sadly sort poster died s afaik
@lucy_hyner @Soulboy2266 sadly not !! One less hour drinking time 😢🍻,sadness,0.667,sadly not hour drinking time
I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :'),sadness,0.667,dark room minute failed time tried developing photo frustrated
Mixed emotions. #sadness #anxietymaybe #missingfriends #growingupsucks #lostfriends #wheresthetruefriends #complications,sadness,0.667,mixed emotion sadness anxietymaybe missingfriends growingupsucks lostfriends wheresthetruefriends complication
"@Jay_2752 thank you, I shall mourn her",sadness,0.667,thank you shall mourn
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,sadness,0.667,making yearly transition excited hopeful college returner sick exhausted pessimist college
"@Gervaisoholic But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'",sadness,0.667,easy ride child cry noh mefind me more nwe sullen misty moor
"Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness",sadness,0.667,yo afam son advice today be polite sudden movement hand them sadness
Man Southampton will wipe the floor with  west ham on Sunday. So disheartened,sadness,0.667,man southampton wipe floor west ham sunday disheartened
@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,sadness,0.667,quite simply worst airline worstairline used shocking appauling dire dismal beyondajoke useless
Hate knowing I have to get up at half 5 for gym in the morning it's so depressing,sadness,0.667,hate knowing half gym morning depressing
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy,sadness,0.667,tried earlier flt day turnd away bcuz late agent let pa silvereliteleftbehind unhappy
Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC,sadness,0.667,love ex united manager twitter form fanbase honestly despair time just fucking team eh mufc
Can we go back 2 weeks and start again ?? This is seriously dreadful,sadness,0.667,week start seriously dreadful
I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18,sadness,0.667,honestly upset rewarded nicole k depressing paulwasrobbed rewardhardwork bitterjury bb
I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse,sadness,0.667,not watched favorite youtubers month honestly depression worse
"@midnight #EndTrumpweek please, it's #depressing me.",sadness,0.667,endtrumpweek please depressing me
@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat,sadness,0.667,think sadness felt strongly physically mentally feel like take hard focus work mhchat
@gagasklaine it's old sadly,sadness,0.667,old sadly
@TDYLN sadly not :(,sadness,0.667,sadly not
"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad",sadness,0.667,terencecutcher tulsa man onthe helicopter said look like bad dude problem black bad sad
@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing,sadness,0.667,not difference courting appealing woman v deception amp pressure depressing
It's way too hard not to get discouraged.,sadness,0.667,way hard not discouraged
as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging,sadness,0.667,depressed suicidal person seeing sing depressing life having fun relatable encouraging
I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression,sadness,0.667,returned dead desire clean apartment eat not garbage managing depression
@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy,sadness,0.667,poor service tonight season ticket holder seat purchased online forced away unhappy
Even a pencil✏ never #stayed  with me until it's #end ⚫ 😞,sadness,0.667,pencil stayed end
so gutted i dropped one of my earrings down the sink at school,sadness,0.667,gutted dropped earring sink school
Having holiday blues! #WantToGoBackToMinehead.,sadness,0.6609999999999999,having holiday blue wanttogobacktominehead
I'd rather die alone then end up with somebody who can't be sober,sadness,0.66,die end somebody sober
I don't think it's fully sunk in that Val is gone yet,sadness,0.654,not think fully sunk val gone
Hate being sober so I popped two,sadness,0.653,hate sober popped
"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair",sadness,0.6459999999999999,pretty clear stand tolerance habitual liar not trump fan citizen do despair
"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant",sadness,0.6459999999999999,hard tell pic mistake then way said initially race u took there sad ignorant
"@X_KIMTAEHYUNG_X \n— momentarily before it disappeared, only solemnity and anxiety lacing his features. \n\n'I ran out to get you before —",sadness,0.6459999999999999,n momentarily disappeared solemnity anxiety lacing feature nni ran
All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness,sadness,0.6459999999999999,junior wearing purple ollafest fighting alarm need wake german sadness
The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing 🙄🙄,sadness,0.6459999999999999,fact not wear bra week knowing start wearing tomorrow depressing
Liam is too distant makes me mourn 😪,sadness,0.6459999999999999,liam distant make mourn
It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable ,sadness,0.6459999999999999,september battling situation said handled march year unacceptable
This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.,sadness,0.6459999999999999,weather got fucked up like sunny hot gloomy cold between
@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad,sadness,0.6459999999999999,wait hour cancel order just placed spending hour phone sad
Life is too short so dont shoot it in with worries sadness and grief.,sadness,0.6459999999999999,life short dont shoot worry sadness grief
Brb going to sulk in bed until Friday,sadness,0.6459999999999999,brb going sulk bed friday
"@LVLMLeah Nooooooooooooooooooooo. We have stupid, dismal, lame winters where we maybe get some dangerous ice once.",sadness,0.6459999999999999,noo stupid dismal lame winter maybe dangerous ice once
#RIPKara i could have seen her at a local mall or any school football games. im disheartened,sadness,0.6459999999999999,ripkara seen local mall school football game im disheartened
@RossKemp great programme tonight #sad #upsetting #extremeworld,sadness,0.6459999999999999,great programme tonight sad upsetting extremeworld
My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr,sadness,0.64,friend tell pretty trigger tell ugly confused realised both pretty ugly tru sad tumblr
"But when my mom told me yesterday that it was looking grim and I started driving out there, I was told to turn around b/c she was too sick",sadness,0.64,mom told yesterday looking grim started driving there told turn bc sick
Isn't the whole 'it's been hijacked' argument the same argument used to ban or discourage the display of the St George's Cross? Shame @LBC,sadness,0.636,not it hijacked argument argument used ban discourage display st george cross shame
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,sadness,0.625,not want pity instructor like understanding truly trying despite circumstance make discouraged
@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness,sadness,0.625,mhchat childhood experience inform adult relationship associative memory not question ability process sadness
"If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo.",sadness,0.625,payet go jan season end say blame him boy b disheartened seeing mo
@laureeenwillam can't cope wi her sour face and tiny pout 😡😡,sadness,0.625,cope wi sour face tiny pout
"There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released...",sadness,0.625,thing not care about thing not speak heaviness released
@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam,sadness,0.625,providing customer wequipment doe not deliver speed internet service charging scam
"@happyandbashful Flirt, simper, pout, repeat. Yuck.",sadness,0.625,flirt simper pout repeat yuck
@el_tityboi bc it's a gloomy day Tony,sadness,0.625,bc gloomy day tony
@rupindxr my heart actually sunk looooool I was so confused,sadness,0.625,heart actually sunk lool confused
@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost,sadness,0.625,m btw lied remain dry remainer tear just accept lost
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,sadness,0.625,stop finished dejected luckily bathroom stall wait pant dry
I wonder what would happen if I were a father. #weary,sadness,0.625,wonder happen father weary
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall,sadness,0.625,absurd laugh right if did not feel like cry future country despair wakeupcall
@MxJackMonroe I couldn't get on with it either. Bits started drooping that shouldn't droop. GP said mooncup alone to blame.,sadness,0.625,not either bit started drooping not droop gp said mooncup blame
@TaylaStJames it happens and Vegas isn't the only origin thats prevelant #sadly,sadness,0.625,happens vega not origin thats prevelant sadly
I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober,sadness,0.625,just eat way sobriety hell journey sober
When you have 15 doe run the opposite side of you 🙁 ,sadness,0.625,doe run opposite
"@Theshadeshit91 \nOh, I'm sorry about it, do not be sad yourself there is nothing important in the world to grieve about it",sadness,0.625,noh sorry it not sad important world grieve
"Because of 'failure of delivery on time', a customer has to pay 16K rupees more! - Not good @tiagotatamotors @TataMotors #unhappy",sadness,0.625,failure delivery time customer pay k rupee more not good unhappy
@everton_de_leon @sterushton Genuinely grim stuff. Over a century of history sold off by some porn baron twats for a minty new stadium. Urgh,sadness,0.624,genuinely grim stuff century history sold porn baron twat minty new stadium urgh
It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! '  #ourworld,sadness,0.618,sad man leaf work little bit late worst fear oh no did stopped police ourworld
"@CCTakato at least in crystal every part of it is portrayed as being WRONG, the dark atmosphere, the fact that mamoru is brainwashed",sadness,0.613,crystal portrayed wrong dark atmosphere fact mamoru brainwashed
"Way too cool to die young, way too young to die sober.. #tunechi",sadness,0.604,way cool die young way young die sober tunechi
